,cell_perimeter_microns,cell_area_microns,shape_parameter,circularity,cell_edge_count,major_shape_axis_alignment_rads
count,693.0,693.0,693.0,693.0,693.0,693.0
mean,74.14913548957806,383.5552716236301,3.8560066163655167,0.5847397909113367,6.005772005772005,1.4868367016217174
std,12.575480981447473,138.44933408908037,0.10552067683159476,0.16682434059331305,0.9676687557092482,0.9217063077541734
min,38.65176488431079,80.52389176130305,3.6620381458374998,0.17647224950828896,3.0,0.0031225199056712084
25%,65.57211880095062,288.12912542953586,3.781804773651622,0.4596404822344557,5.0,0.6975688735433025
50%,73.23600456871606,364.99284029259695,3.84213105943756,0.5819611724695026,6.0,1.3982680161720975
75%,82.05054287527436,457.8149264319909,3.904400750380036,0.7098565828698186,7.0,2.293703045860309
max,123.28320242319246,1042.857601846838,4.611466242143486,0.9920270174036906,10.0,3.1407293096032016
