,cell_perimeter_microns,cell_area_microns,cell_perimeter_nd,cell_area_nd,cell_P_eff_nd,shape_parameter,circularity,cell_edge_count,cell_shear,cell_zeta,major_shape_axis_alignment_rads,major_stress_axis_alignment_rads
count,693.0,693.0,693.0,693.0,693.0,693.0,693.0,693.0,693.0,693.0,693.0,693.0
mean,74.14913548957806,383.5552716236301,1.786055764139964,0.22253883021808604,-0.05553693810625283,3.8560066163655167,0.5847397909113367,6.005772005772005,0.12334554483185886,0.08393852123125314,1.4868367016217174,1.550303219876057
std,12.575480981447473,138.44933408908037,0.30290994150435724,0.08032832588177823,0.1622902271007938,0.10552067683159476,0.16682434059331305,0.9676687557092482,0.07208572905388126,0.04401625978147723,0.9217063077541734,0.8990845270708911
min,38.65176488431079,80.52389176130305,0.9310183727699557,0.046719974936890306,-0.6480369576205919,3.6620381458374998,0.17647224950828896,3.0,0.0011140033277525767,0.0007665038595169271,0.0031225199056712084,0.0032807928100071493
25%,65.57211880095062,288.12912542953586,1.5794582091623897,0.1671725648650915,-0.15715259304530993,3.781804773651622,0.4596404822344557,5.0,0.06645564520594587,0.049003113823788594,0.6975688735433025,0.7560202520395856
50%,73.23600456871606,364.99284029259695,1.7640608651589873,0.21176890457757716,-0.06378226058153946,3.84213105943756,0.5819611724695026,6.0,0.11165660889705865,0.07989011782516983,1.3982680161720975,1.5359376595057528
75%,82.05054287527436,457.8149264319909,1.9763796851521584,0.2656242938684658,0.0436754433282307,3.904400750380036,0.7098565828698186,7.0,0.16293132577516736,0.11185913575854713,2.293703045860309,2.3325332054796855
max,123.28320242319246,1042.857601846838,2.9695649565668303,0.6050661481372168,0.5406594704447109,4.611466242143486,0.9920270174036906,10.0,0.42991722772406793,0.23379501072898087,3.1407293096032016,3.126293145154673
